customer_id,customer_segment,historical_success_rate,average_transaction_amount,previous_transactions,previous_failures
CUST_00039,MEDIUM_RELIABILITY,0.82,1203.42,86,15
CUST_00040,MEDIUM_RELIABILITY,0.73,1600.76,33,8
CUST_00041,MEDIUM_RELIABILITY,0.84,6421.33,12,1
CUST_00042,HIGH_RELIABILITY,0.92,1889.82,9,0
CUST_00043,LOW_RELIABILITY,0.44,2411.25,56,31
CUST_00044,HIGH_RELIABILITY,0.96,9925.8,32,1
CUST_00045,LOW_RELIABILITY,0.61,3411.06,77,30
CUST_00046,LOW_RELIABILITY,0.38,5050.06,45,27
CUST_00047,HIGH_RELIABILITY,0.96,8857.88,68,2
CUST_00048,MEDIUM_RELIABILITY,0.82,5191.06,87,15
CUST_00049,MEDIUM_RELIABILITY,0.77,4561.64,38,8
CUST_00050,HIGH_RELIABILITY,0.88,2510.48,100,12
CUST_00051,MEDIUM_RELIABILITY,0.66,6545.9,38,12
CUST_00052,MEDIUM_RELIABILITY,0.72,5331.42,59,16
CUST_00053,LOW_RELIABILITY,0.61,1895.19,56,21
CUST_00054,MEDIUM_RELIABILITY,0.74,7677.74,22,5
CUST_00055,MEDIUM_RELIABILITY,0.7,1231.31,16,4
CUST_00056,MEDIUM_RELIABILITY,0.71,2031.6,19,5
CUST_00057,HIGH_RELIABILITY,0.98,12313.69,25,0
CUST_00058,MEDIUM_RELIABILITY,0.79,8778.88,59,12
CUST_00059,MEDIUM_RELIABILITY,0.83,2272.42,54,9
CUST_00060,MEDIUM_RELIABILITY,0.85,5623.75,64,9
CUST_00061,MEDIUM_RELIABILITY,0.83,9012.87,75,12
CUST_00062,LOW_RELIABILITY,0.44,948.35,6,3
CUST_00063,MEDIUM_RELIABILITY,0.7,4557.52,19,5
CUST_00064,MEDIUM_RELIABILITY,0.83,8676.94,73,12
CUST_00065,MEDIUM_RELIABILITY,0.65,5352.1,87,30
CUST_00066,HIGH_RELIABILITY,0.93,4109.51,42,2
CUST_00067,MEDIUM_RELIABILITY,0.68,3707.34,63,20
CUST_00068,HIGH_RELIABILITY,0.98,5524.84,97,1
CUST_00069,LOW_RELIABILITY,0.5,4980.53,38,19
CUST_00070,LOW_RELIABILITY,0.46,6808.12,27,14
CUST_00071,MEDIUM_RELIABILITY,0.86,2891.93,18,2
CUST_00072,LOW_RELIABILITY,0.49,2245.97,43,21
CUST_00073,LOW_RELIABILITY,0.43,450.83,69,39
CUST_00074,MEDIUM_RELIABILITY,0.78,5275.45,24,5
CUST_00075,MEDIUM_RELIABILITY,0.66,3147.14,25,8
CUST_00076,MEDIUM_RELIABILITY,0.85,2775.84,72,10
CUST_00077,LOW_RELIABILITY,0.39,3528.28,81,49
CUST_00078,HIGH_RELIABILITY,0.99,4388.77,7,0
CUST_00079,HIGH_RELIABILITY,0.95,11662.67,51,2
CUST_00080,LOW_RELIABILITY,0.42,5151.87,44,25
CUST_00081,HIGH_RELIABILITY,0.92,9852.28,35,2
CUST_00082,LOW_RELIABILITY,0.53,3843.27,15,7
CUST_00083,HIGH_RELIABILITY,0.89,12694.23,67,7
CUST_00084,LOW_RELIABILITY,0.44,1468.33,73,40
CUST_00085,MEDIUM_RELIABILITY,0.66,6113.48,21,7
CUST_00086,MEDIUM_RELIABILITY,0.8,657.58,75,14
CUST_00087,HIGH_RELIABILITY,0.94,4170.94,72,4
CUST_00088,LOW_RELIABILITY,0.54,1385.69,59,27
CUST_00089,LOW_RELIABILITY,0.55,2829.8,74,33
CUST_00090,MEDIUM_RELIABILITY,0.86,1806.45,93,13
CUST_00091,HIGH_RELIABILITY,0.92,2588.63,44,3
CUST_00092,MEDIUM_RELIABILITY,0.85,8834.72,90,13
CUST_00093,MEDIUM_RELIABILITY,0.71,6769.85,61,17
CUST_00094,LOW_RELIABILITY,0.59,3975.37,62,25
CUST_00095,HIGH_RELIABILITY,0.94,4385.93,33,1
CUST_00096,HIGH_RELIABILITY,0.89,13561.02,7,0
CUST_00097,MEDIUM_RELIABILITY,0.85,6514.46,34,5
CUST_00098,MEDIUM_RELIABILITY,0.72,3817.49,5,1
CUST_00099,HIGH_RELIABILITY,0.96,13559.54,85,3
CUST_00100,HIGH_RELIABILITY,0.98,11918.26,13,0
CUST_00101,LOW_RELIABILITY,0.54,772.15,47,21
CUST_00102,HIGH_RELIABILITY,0.9,13579.76,35,3
CUST_00103,HIGH_RELIABILITY,0.95,1128.76,67,3
CUST_00104,HIGH_RELIABILITY,0.89,10289.02,21,2
CUST_00105,MEDIUM_RELIABILITY,0.65,2027.68,78,27
CUST_00106,MEDIUM_RELIABILITY,0.77,7073.0,36,8
CUST_00107,MEDIUM_RELIABILITY,0.79,2630.56,57,11
CUST_00108,HIGH_RELIABILITY,0.96,4321.49,17,0
CUST_00109,MEDIUM_RELIABILITY,0.72,7591.67,50,14
CUST_00110,MEDIUM_RELIABILITY,0.79,8567.62,64,13
CUST_00111,LOW_RELIABILITY,0.54,4064.5,11,5
CUST_00112,MEDIUM_RELIABILITY,0.67,3993.3,87,28
CUST_00113,HIGH_RELIABILITY,0.91,4415.86,56,5
CUST_00114,MEDIUM_RELIABILITY,0.86,4234.43,18,2
CUST_00115,HIGH_RELIABILITY,0.98,9835.94,29,0
CUST_00116,MEDIUM_RELIABILITY,0.82,5275.05,22,3
CUST_00117,MEDIUM_RELIABILITY,0.78,5178.92,40,8
CUST_00118,MEDIUM_RELIABILITY,0.69,7363.3,14,4
CUST_00119,MEDIUM_RELIABILITY,0.71,731.0,75,21
CUST_00120,HIGH_RELIABILITY,0.95,3479.55,88,4
CUST_00121,LOW_RELIABILITY,0.62,6686.71,6,2
CUST_00122,LOW_RELIABILITY,0.62,2717.08,35,13
CUST_00123,HIGH_RELIABILITY,0.88,13996.46,67,8
CUST_00124,MEDIUM_RELIABILITY,0.74,9683.22,56,14
CUST_00125,LOW_RELIABILITY,0.63,6000.46,26,9
CUST_00126,MEDIUM_RELIABILITY,0.71,4158.43,54,15
CUST_00127,HIGH_RELIABILITY,0.97,5436.91,63,1
CUST_00128,HIGH_RELIABILITY,0.9,8795.22,94,9
CUST_00129,LOW_RELIABILITY,0.62,4933.0,76,28
CUST_00130,MEDIUM_RELIABILITY,0.78,1423.18,67,14
CUST_00131,HIGH_RELIABILITY,0.95,14860.75,42,2
CUST_00132,HIGH_RELIABILITY,0.9,8256.62,12,1
CUST_00133,MEDIUM_RELIABILITY,0.84,7537.3,74,11
CUST_00134,HIGH_RELIABILITY,0.96,10834.78,45,1
CUST_00135,HIGH_RELIABILITY,0.92,5110.29,79,6
CUST_00136,MEDIUM_RELIABILITY,0.83,8196.08,72,12
CUST_00137,HIGH_RELIABILITY,0.98,13785.37,70,1
CUST_00138,HIGH_RELIABILITY,0.94,8021.23,28,1
CUST_00139,HIGH_RELIABILITY,0.97,10099.5,13,0
CUST_00140,MEDIUM_RELIABILITY,0.8,8060.03,35,6
CUST_00141,MEDIUM_RELIABILITY,0.85,3710.95,77,11
CUST_00142,HIGH_RELIABILITY,0.92,2315.75,81,6
CUST_00143,HIGH_RELIABILITY,0.94,1503.19,15,0
CUST_00144,MEDIUM_RELIABILITY,0.75,5655.12,79,19
CUST_00145,MEDIUM_RELIABILITY,0.71,6112.92,45,13
CUST_00146,LOW_RELIABILITY,0.36,453.97,31,19
CUST_00147,MEDIUM_RELIABILITY,0.83,3921.81,45,7
CUST_00148,HIGH_RELIABILITY,0.89,8311.41,55,6
CUST_00149,HIGH_RELIABILITY,0.96,4021.49,87,3
CUST_00150,HIGH_RELIABILITY,0.95,2194.86,45,2
CUST_00151,LOW_RELIABILITY,0.36,3813.21,14,8
CUST_00152,HIGH_RELIABILITY,0.94,9924.02,84,5
CUST_00153,LOW_RELIABILITY,0.56,6835.79,17,7
CUST_00154,HIGH_RELIABILITY,0.94,5521.39,32,1
CUST_00155,MEDIUM_RELIABILITY,0.82,3072.91,21,3
CUST_00156,LOW_RELIABILITY,0.48,733.5,13,6
CUST_00157,LOW_RELIABILITY,0.36,6746.01,52,33
CUST_00158,HIGH_RELIABILITY,0.97,10743.64,61,1
CUST_00159,LOW_RELIABILITY,0.47,1378.4,95,50
CUST_00160,HIGH_RELIABILITY,0.9,4503.4,88,8
CUST_00161,MEDIUM_RELIABILITY,0.77,7288.66,90,20
CUST_00162,LOW_RELIABILITY,0.54,2103.55,43,19
CUST_00163,LOW_RELIABILITY,0.63,5217.7,18,6
CUST_00164,LOW_RELIABILITY,0.51,4359.7,22,10
CUST_00165,HIGH_RELIABILITY,0.93,4468.23,18,1
CUST_00166,MEDIUM_RELIABILITY,0.73,7699.54,24,6
CUST_00167,HIGH_RELIABILITY,0.88,2625.02,82,9
CUST_00168,HIGH_RELIABILITY,0.89,1570.2,48,5
CUST_00169,HIGH_RELIABILITY,0.97,10851.21,86,2
CUST_00170,LOW_RELIABILITY,0.49,865.27,69,35
CUST_00171,MEDIUM_RELIABILITY,0.76,4997.98,11,2
CUST_00172,HIGH_RELIABILITY,0.9,7073.92,59,5
CUST_00173,LOW_RELIABILITY,0.47,4387.78,10,5
CUST_00174,HIGH_RELIABILITY,0.95,1634.26,21,1
CUST_00175,MEDIUM_RELIABILITY,0.73,6445.67,38,10
CUST_00176,HIGH_RELIABILITY,0.94,12990.86,61,3
CUST_00177,MEDIUM_RELIABILITY,0.79,2047.88,59,12
CUST_00178,MEDIUM_RELIABILITY,0.67,6602.98,19,6
CUST_00179,HIGH_RELIABILITY,0.88,9200.86,93,11
CUST_00180,LOW_RELIABILITY,0.62,4113.22,74,28
CUST_00181,HIGH_RELIABILITY,0.92,10006.04,52,4
CUST_00182,MEDIUM_RELIABILITY,0.75,5683.36,23,5
CUST_00183,MEDIUM_RELIABILITY,0.86,4167.98,10,1
CUST_00184,HIGH_RELIABILITY,0.99,13674.91,10,0
CUST_00185,LOW_RELIABILITY,0.41,671.66,31,18
CUST_00186,MEDIUM_RELIABILITY,0.67,673.11,90,29
CUST_00187,HIGH_RELIABILITY,0.89,10562.09,76,8
CUST_00188,LOW_RELIABILITY,0.37,2369.03,57,35
CUST_00189,LOW_RELIABILITY,0.6,358.25,100,40
CUST_00190,HIGH_RELIABILITY,0.97,4945.97,35,1
CUST_00191,LOW_RELIABILITY,0.38,4937.81,27,16
CUST_00192,LOW_RELIABILITY,0.53,6166.81,8,3
CUST_00193,HIGH_RELIABILITY,0.96,12248.73,47,1
CUST_00194,MEDIUM_RELIABILITY,0.71,2185.68,57,16
CUST_00195,LOW_RELIABILITY,0.57,5686.48,99,42
CUST_00196,LOW_RELIABILITY,0.64,3005.8,39,14
CUST_00197,HIGH_RELIABILITY,0.92,11869.78,94,7
CUST_00198,HIGH_RELIABILITY,0.92,14030.6,9,0
CUST_00199,LOW_RELIABILITY,0.6,3117.16,33,13
CUST_00200,HIGH_RELIABILITY,0.96,11563.6,63,2
CUST_00201,HIGH_RELIABILITY,0.89,13635.74,34,3
CUST_00202,HIGH_RELIABILITY,0.94,12570.4,89,5
CUST_00203,HIGH_RELIABILITY,0.92,13537.33,47,3
CUST_00204,HIGH_RELIABILITY,0.92,1151.73,13,1
CUST_00205,LOW_RELIABILITY,0.61,820.75,40,15
CUST_00206,MEDIUM_RELIABILITY,0.72,9525.59,70,19
CUST_00207,MEDIUM_RELIABILITY,0.86,5947.66,73,10
CUST_00208,HIGH_RELIABILITY,0.95,7278.24,8,0
CUST_00209,HIGH_RELIABILITY,0.91,5601.3,38,3
CUST_00210,HIGH_RELIABILITY,0.95,11533.24,38,1
CUST_00211,HIGH_RELIABILITY,0.97,12054.65,81,2
CUST_00212,MEDIUM_RELIABILITY,0.67,5196.99,98,32
CUST_00213,MEDIUM_RELIABILITY,0.66,5720.52,60,20
CUST_00214,MEDIUM_RELIABILITY,0.75,8933.19,70,17
CUST_00215,HIGH_RELIABILITY,0.92,2638.94,78,6
CUST_00216,HIGH_RELIABILITY,0.9,11661.15,10,0
CUST_00217,MEDIUM_RELIABILITY,0.79,1460.67,5,1
CUST_00218,MEDIUM_RELIABILITY,0.67,7159.21,73,24
CUST_00219,MEDIUM_RELIABILITY,0.67,8307.67,99,32
CUST_00220,MEDIUM_RELIABILITY,0.81,1272.81,30,5
CUST_00221,MEDIUM_RELIABILITY,0.67,9873.08,13,4
CUST_00222,LOW_RELIABILITY,0.46,2720.37,47,25
CUST_00223,MEDIUM_RELIABILITY,0.83,9498.86,89,15
CUST_00224,LOW_RELIABILITY,0.64,5322.97,97,34
CUST_00225,LOW_RELIABILITY,0.46,767.8,69,37
CUST_00226,HIGH_RELIABILITY,0.97,8817.66,57,1
CUST_00227,HIGH_RELIABILITY,0.93,13688.96,94,6
CUST_00228,HIGH_RELIABILITY,0.89,7896.75,21,2
CUST_00229,HIGH_RELIABILITY,0.88,7561.25,90,10
CUST_00230,LOW_RELIABILITY,0.37,1007.96,91,57
CUST_00231,MEDIUM_RELIABILITY,0.68,6667.5,27,8
CUST_00232,MEDIUM_RELIABILITY,0.81,6042.0,43,8
CUST_00233,MEDIUM_RELIABILITY,0.86,4061.27,5,0
CUST_00234,HIGH_RELIABILITY,0.91,13160.39,31,2
CUST_00235,MEDIUM_RELIABILITY,0.7,9650.61,79,23
CUST_00236,MEDIUM_RELIABILITY,0.65,9713.85,46,16
CUST_00237,MEDIUM_RELIABILITY,0.66,8965.86,61,20
CUST_00238,MEDIUM_RELIABILITY,0.77,9933.17,70,16
CUST_00239,MEDIUM_RELIABILITY,0.67,5761.62,99,32
CUST_00240,HIGH_RELIABILITY,0.99,8323.37,15,0
CUST_00241,HIGH_RELIABILITY,0.95,10740.48,89,4
CUST_00242,MEDIUM_RELIABILITY,0.75,6461.8,47,11
CUST_00243,HIGH_RELIABILITY,0.94,13616.21,35,2
CUST_00244,MEDIUM_RELIABILITY,0.66,3169.15,33,11
CUST_00245,LOW_RELIABILITY,0.63,6253.79,23,8
CUST_00246,HIGH_RELIABILITY,0.93,9681.86,36,2
CUST_00247,LOW_RELIABILITY,0.43,1479.22,83,47
CUST_00248,LOW_RELIABILITY,0.48,2602.8,14,7
CUST_00249,MEDIUM_RELIABILITY,0.78,1238.48,85,18
CUST_00250,MEDIUM_RELIABILITY,0.86,9869.0,96,13
CUST_00251,MEDIUM_RELIABILITY,0.8,5592.92,68,13
CUST_00252,MEDIUM_RELIABILITY,0.72,8231.05,23,6
CUST_00253,MEDIUM_RELIABILITY,0.8,2044.86,5,0
CUST_00254,LOW_RELIABILITY,0.61,5793.25,18,7
CUST_00255,MEDIUM_RELIABILITY,0.86,7394.34,33,4
CUST_00256,HIGH_RELIABILITY,0.95,6855.4,94,4
CUST_00257,MEDIUM_RELIABILITY,0.86,8727.61,11,1
CUST_00258,MEDIUM_RELIABILITY,0.66,750.49,20,6
CUST_00259,MEDIUM_RELIABILITY,0.73,8200.26,64,17
CUST_00260,MEDIUM_RELIABILITY,0.87,1928.96,76,9
CUST_00261,MEDIUM_RELIABILITY,0.78,4118.46,61,13
CUST_00262,MEDIUM_RELIABILITY,0.86,8500.13,97,13
CUST_00263,LOW_RELIABILITY,0.59,3387.11,59,24
CUST_00264,LOW_RELIABILITY,0.47,2059.17,75,39
CUST_00265,MEDIUM_RELIABILITY,0.66,8714.86,25,8
CUST_00266,MEDIUM_RELIABILITY,0.83,9997.32,65,11
CUST_00267,MEDIUM_RELIABILITY,0.87,5776.6,36,4
CUST_00268,LOW_RELIABILITY,0.57,6624.41,40,17
CUST_00269,MEDIUM_RELIABILITY,0.84,2849.81,71,11
CUST_00270,MEDIUM_RELIABILITY,0.75,1727.01,35,8
CUST_00271,HIGH_RELIABILITY,0.98,9486.44,14,0
CUST_00272,MEDIUM_RELIABILITY,0.7,6881.16,35,10
CUST_00273,HIGH_RELIABILITY,0.95,6014.28,45,2
CUST_00274,LOW_RELIABILITY,0.38,4766.7,15,9
CUST_00275,HIGH_RELIABILITY,0.94,11812.46,34,2
CUST_00276,MEDIUM_RELIABILITY,0.76,8595.72,24,5
CUST_00277,MEDIUM_RELIABILITY,0.77,5828.91,13,2
CUST_00278,MEDIUM_RELIABILITY,0.84,4333.09,47,7
CUST_00279,MEDIUM_RELIABILITY,0.68,773.44,58,18
CUST_00280,HIGH_RELIABILITY,0.96,9684.33,58,2
CUST_00281,MEDIUM_RELIABILITY,0.8,2523.16,79,15
CUST_00282,LOW_RELIABILITY,0.39,298.9,7,4
CUST_00283,LOW_RELIABILITY,0.45,4211.44,78,42
CUST_00284,MEDIUM_RELIABILITY,0.74,4656.01,5,1
CUST_00285,LOW_RELIABILITY,0.61,2568.14,43,16
CUST_00286,MEDIUM_RELIABILITY,0.76,7944.7,58,13
CUST_00287,MEDIUM_RELIABILITY,0.74,6409.82,99,25
CUST_00288,MEDIUM_RELIABILITY,0.84,9520.45,82,13
CUST_00289,LOW_RELIABILITY,0.39,6500.8,67,40
CUST_00290,HIGH_RELIABILITY,0.93,4615.42,60,4
CUST_00291,MEDIUM_RELIABILITY,0.75,9810.31,54,13
CUST_00292,HIGH_RELIABILITY,0.93,5602.52,91,6
CUST_00293,MEDIUM_RELIABILITY,0.79,2781.38,97,20
CUST_00294,HIGH_RELIABILITY,0.89,2804.32,64,7
CUST_00295,LOW_RELIABILITY,0.39,1232.94,84,51
CUST_00296,MEDIUM_RELIABILITY,0.68,6588.31,55,17
CUST_00297,MEDIUM_RELIABILITY,0.69,3783.84,89,27
CUST_00298,HIGH_RELIABILITY,0.98,7635.46,87,1
CUST_00299,MEDIUM_RELIABILITY,0.8,2137.04,64,12
CUST_00300,HIGH_RELIABILITY,0.9,1572.16,38,3
CUST_00301,MEDIUM_RELIABILITY,0.69,3146.61,32,9
CUST_00302,MEDIUM_RELIABILITY,0.69,1342.67,48,14
CUST_00303,MEDIUM_RELIABILITY,0.68,4877.4,53,16
CUST_00304,HIGH_RELIABILITY,0.9,6099.78,58,5
CUST_00305,HIGH_RELIABILITY,0.94,10665.53,15,0
CUST_00306,MEDIUM_RELIABILITY,0.66,8094.4,100,34
CUST_00307,MEDIUM_RELIABILITY,0.79,1276.71,49,10
CUST_00308,HIGH_RELIABILITY,0.98,13892.21,13,0
CUST_00309,MEDIUM_RELIABILITY,0.66,3130.34,88,29
CUST_00310,HIGH_RELIABILITY,0.97,11475.64,8,0
CUST_00311,LOW_RELIABILITY,0.4,1623.58,30,18
CUST_00312,LOW_RELIABILITY,0.46,3494.76,84,45
CUST_00313,HIGH_RELIABILITY,0.95,6164.79,21,1
CUST_00314,MEDIUM_RELIABILITY,0.75,7600.97,19,4
CUST_00315,MEDIUM_RELIABILITY,0.66,2898.15,32,10
CUST_00316,MEDIUM_RELIABILITY,0.81,9004.46,37,7
CUST_00317,MEDIUM_RELIABILITY,0.76,5555.08,26,6
CUST_00318,MEDIUM_RELIABILITY,0.67,4750.42,100,32
CUST_00319,MEDIUM_RELIABILITY,0.77,2803.47,25,5
CUST_00320,LOW_RELIABILITY,0.43,2765.53,18,10
CUST_00321,MEDIUM_RELIABILITY,0.65,3559.75,44,15
CUST_00322,MEDIUM_RELIABILITY,0.7,3611.22,53,15
CUST_00323,MEDIUM_RELIABILITY,0.68,8960.01,96,30
CUST_00324,HIGH_RELIABILITY,0.95,10507.43,80,4
CUST_00325,MEDIUM_RELIABILITY,0.82,5235.2,85,15
CUST_00326,HIGH_RELIABILITY,0.89,8519.49,94,10
CUST_00327,MEDIUM_RELIABILITY,0.78,7581.68,92,20
CUST_00328,MEDIUM_RELIABILITY,0.74,1712.01,20,5
CUST_00329,MEDIUM_RELIABILITY,0.71,3949.28,77,22
CUST_00330,MEDIUM_RELIABILITY,0.79,5922.39,49,10
CUST_00331,MEDIUM_RELIABILITY,0.73,9871.89,89,24
CUST_00332,MEDIUM_RELIABILITY,0.78,2753.65,69,15
CUST_00333,MEDIUM_RELIABILITY,0.67,1952.16,6,1
CUST_00334,LOW_RELIABILITY,0.42,1292.63,67,38
CUST_00335,HIGH_RELIABILITY,0.9,4991.33,51,5
CUST_00336,MEDIUM_RELIABILITY,0.69,9019.27,63,19
CUST_00337,MEDIUM_RELIABILITY,0.67,5482.86,60,19
CUST_00338,HIGH_RELIABILITY,0.93,14753.3,71,4
CUST_00339,LOW_RELIABILITY,0.38,2905.42,39,24
CUST_00340,MEDIUM_RELIABILITY,0.86,8722.32,73,10
CUST_00341,MEDIUM_RELIABILITY,0.83,2950.08,64,10
CUST_00342,MEDIUM_RELIABILITY,0.69,6852.11,98,30
CUST_00343,MEDIUM_RELIABILITY,0.85,5789.25,46,6
CUST_00344,LOW_RELIABILITY,0.52,2103.86,16,7
CUST_00345,HIGH_RELIABILITY,0.96,3618.61,62,2
CUST_00346,HIGH_RELIABILITY,0.92,6956.11,64,5
CUST_00347,MEDIUM_RELIABILITY,0.76,2802.89,90,21
CUST_00348,MEDIUM_RELIABILITY,0.68,6300.89,8,2
CUST_00349,MEDIUM_RELIABILITY,0.71,6021.76,46,13
CUST_00350,HIGH_RELIABILITY,0.9,7735.96,32,3
CUST_00351,MEDIUM_RELIABILITY,0.77,992.32,38,8
CUST_00352,HIGH_RELIABILITY,0.92,2881.81,81,6
CUST_00353,MEDIUM_RELIABILITY,0.66,9904.62,40,13
CUST_00354,MEDIUM_RELIABILITY,0.72,8193.81,71,19
CUST_00355,LOW_RELIABILITY,0.42,4834.22,15,8
CUST_00356,HIGH_RELIABILITY,0.96,9338.94,57,2
CUST_00357,MEDIUM_RELIABILITY,0.75,4412.49,35,8
CUST_00358,MEDIUM_RELIABILITY,0.73,9330.53,87,23
CUST_00359,MEDIUM_RELIABILITY,0.83,9667.76,62,10
CUST_00360,MEDIUM_RELIABILITY,0.68,7443.24,16,5
CUST_00361,HIGH_RELIABILITY,0.98,3537.26,56,1
CUST_00362,MEDIUM_RELIABILITY,0.66,7540.65,44,14
CUST_00363,MEDIUM_RELIABILITY,0.78,8497.37,52,11
CUST_00364,MEDIUM_RELIABILITY,0.68,8055.04,72,23
CUST_00365,HIGH_RELIABILITY,0.9,3291.18,100,9
CUST_00366,MEDIUM_RELIABILITY,0.69,8238.46,50,15
CUST_00367,MEDIUM_RELIABILITY,0.8,5469.12,39,7
CUST_00368,HIGH_RELIABILITY,0.92,13280.81,34,2
CUST_00369,HIGH_RELIABILITY,0.92,12432.39,29,2
CUST_00370,HIGH_RELIABILITY,0.93,6277.22,100,6
CUST_00371,MEDIUM_RELIABILITY,0.75,3363.09,93,23
CUST_00372,HIGH_RELIABILITY,0.96,8038.09,32,1
CUST_00373,MEDIUM_RELIABILITY,0.7,9045.96,40,12
CUST_00374,MEDIUM_RELIABILITY,0.73,5663.75,72,19
CUST_00375,MEDIUM_RELIABILITY,0.85,6430.26,17,2
CUST_00376,LOW_RELIABILITY,0.38,6590.86,42,26
CUST_00377,HIGH_RELIABILITY,0.95,5688.68,27,1
CUST_00378,HIGH_RELIABILITY,0.9,12116.35,95,9
CUST_00379,MEDIUM_RELIABILITY,0.79,5567.88,40,8
CUST_00380,HIGH_RELIABILITY,0.98,12040.36,11,0
CUST_00381,MEDIUM_RELIABILITY,0.68,3461.36,94,30
CUST_00382,LOW_RELIABILITY,0.42,5258.83,86,49
CUST_00383,LOW_RELIABILITY,0.36,4075.25,67,42
CUST_00384,HIGH_RELIABILITY,0.96,13274.72,6,0
CUST_00385,MEDIUM_RELIABILITY,0.73,8301.94,65,17
CUST_00386,MEDIUM_RELIABILITY,0.67,8541.3,48,15
CUST_00387,HIGH_RELIABILITY,0.89,6562.02,11,1
CUST_00388,HIGH_RELIABILITY,0.97,3098.84,66,1
CUST_00389,HIGH_RELIABILITY,0.91,11111.54,13,1
CUST_00390,MEDIUM_RELIABILITY,0.81,6590.9,14,2
CUST_00391,MEDIUM_RELIABILITY,0.8,5655.88,92,18
CUST_00392,HIGH_RELIABILITY,0.91,5839.74,24,2
CUST_00393,LOW_RELIABILITY,0.4,6377.46,43,25
CUST_00394,HIGH_RELIABILITY,0.94,6611.92,36,2
CUST_00395,HIGH_RELIABILITY,0.93,14261.97,58,4
CUST_00396,MEDIUM_RELIABILITY,0.68,6069.18,84,26
CUST_00397,HIGH_RELIABILITY,0.94,9560.36,71,4
CUST_00398,MEDIUM_RELIABILITY,0.65,8785.18,61,21
CUST_00399,HIGH_RELIABILITY,0.98,8911.86,80,1
CUST_00400,LOW_RELIABILITY,0.55,6473.0,44,19
CUST_00401,MEDIUM_RELIABILITY,0.81,1949.12,12,2
CUST_00402,MEDIUM_RELIABILITY,0.78,6263.79,99,21
CUST_00403,HIGH_RELIABILITY,0.93,11310.22,31,2
CUST_00404,MEDIUM_RELIABILITY,0.86,9292.9,38,5
CUST_00405,MEDIUM_RELIABILITY,0.75,1575.76,25,6
CUST_00406,HIGH_RELIABILITY,0.99,12744.57,75,0
CUST_00407,HIGH_RELIABILITY,0.89,13891.79,5,0
CUST_00408,MEDIUM_RELIABILITY,0.84,5428.96,93,14
CUST_00409,MEDIUM_RELIABILITY,0.78,4290.53,42,9
CUST_00410,HIGH_RELIABILITY,0.89,5692.76,41,4
CUST_00411,MEDIUM_RELIABILITY,0.83,544.0,94,15
CUST_00412,LOW_RELIABILITY,0.45,2907.55,14,7
CUST_00413,MEDIUM_RELIABILITY,0.77,9238.63,38,8
