transaction_id,customer_id,customer_segment,historical_success_rate,average_transaction_amount,amount,payment_method,transaction_hour,failure_reason,retry_count,strategy_id,strategy_name,action,delay_hours,ground_truth_probability,recovered,recovered_amount,recovery_cost,customer_friction
TXN_0000044,CUST_00004,HIGH_RELIABILITY,0.89,13126.47,7824.79,CARD,8,INSUFFICIENT_FUNDS,0,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.6324,0,0.0,2.29,0.15
TXN_0000044,CUST_00004,HIGH_RELIABILITY,0.89,13126.47,7824.79,CARD,8,INSUFFICIENT_FUNDS,0,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.8023,1,7824.79,2.35,0.1
TXN_0000044,CUST_00004,HIGH_RELIABILITY,0.89,13126.47,7824.79,CARD,8,INSUFFICIENT_FUNDS,0,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.7648,1,7824.79,8.44,0.45
TXN_0000044,CUST_00004,HIGH_RELIABILITY,0.89,13126.47,7824.79,CARD,8,INSUFFICIENT_FUNDS,0,WAIT,Wait,WAIT,12.0,0.7654,1,7824.79,0.39,0.05
TXN_0000046,CUST_00004,HIGH_RELIABILITY,0.89,13126.47,23929.53,UPI,7,NETWORK_TIMEOUT,1,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.831,0,0.0,3.39,0.23
TXN_0000046,CUST_00004,HIGH_RELIABILITY,0.89,13126.47,23929.53,UPI,7,NETWORK_TIMEOUT,1,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.8419,1,23929.53,3.52,0.18
TXN_0000046,CUST_00004,HIGH_RELIABILITY,0.89,13126.47,23929.53,UPI,7,NETWORK_TIMEOUT,1,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.7087,0,0.0,9.29,0.53
TXN_0000046,CUST_00004,HIGH_RELIABILITY,0.89,13126.47,23929.53,UPI,7,NETWORK_TIMEOUT,1,WAIT,Wait,WAIT,12.0,0.6483,0,0.0,1.74,0.13
TXN_0000047,CUST_00004,HIGH_RELIABILITY,0.89,13126.47,13235.65,UPI,4,INSUFFICIENT_FUNDS,2,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.4228,0,0.0,3.25,0.31
TXN_0000047,CUST_00004,HIGH_RELIABILITY,0.89,13126.47,13235.65,UPI,4,INSUFFICIENT_FUNDS,2,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.8039,0,0.0,3.66,0.26
TXN_0000047,CUST_00004,HIGH_RELIABILITY,0.89,13126.47,13235.65,UPI,4,INSUFFICIENT_FUNDS,2,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.6933,1,13235.65,9.64,0.61
TXN_0000047,CUST_00004,HIGH_RELIABILITY,0.89,13126.47,13235.65,UPI,4,INSUFFICIENT_FUNDS,2,WAIT,Wait,WAIT,12.0,0.7292,1,13235.65,1.29,0.21
TXN_0000052,CUST_00005,LOW_RELIABILITY,0.52,5014.89,3411.75,WALLET,5,USER_ABANDONMENT,2,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.22,0,0.0,2.18,0.31
TXN_0000052,CUST_00005,LOW_RELIABILITY,0.52,5014.89,3411.75,WALLET,5,USER_ABANDONMENT,2,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.3697,0,0.0,2.06,0.26
TXN_0000052,CUST_00005,LOW_RELIABILITY,0.52,5014.89,3411.75,WALLET,5,USER_ABANDONMENT,2,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.6045,0,0.0,7.91,0.61
TXN_0000052,CUST_00005,LOW_RELIABILITY,0.52,5014.89,3411.75,WALLET,5,USER_ABANDONMENT,2,WAIT,Wait,WAIT,12.0,0.2685,0,0.0,0.0,0.21
TXN_0000055,CUST_00005,LOW_RELIABILITY,0.52,5014.89,5260.96,WALLET,1,INSUFFICIENT_FUNDS,0,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.3887,0,0.0,2.69,0.15
TXN_0000055,CUST_00005,LOW_RELIABILITY,0.52,5014.89,5260.96,WALLET,1,INSUFFICIENT_FUNDS,0,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.7471,1,5260.96,2.49,0.1
TXN_0000055,CUST_00005,LOW_RELIABILITY,0.52,5014.89,5260.96,WALLET,1,INSUFFICIENT_FUNDS,0,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.5828,1,5260.96,8.63,0.45
TXN_0000055,CUST_00005,LOW_RELIABILITY,0.52,5014.89,5260.96,WALLET,1,INSUFFICIENT_FUNDS,0,WAIT,Wait,WAIT,12.0,0.5702,1,5260.96,0.53,0.05
TXN_0000056,CUST_00005,LOW_RELIABILITY,0.52,5014.89,8273.92,WALLET,9,INSUFFICIENT_FUNDS,0,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.3858,1,8273.92,2.51,0.15
TXN_0000056,CUST_00005,LOW_RELIABILITY,0.52,5014.89,8273.92,WALLET,9,INSUFFICIENT_FUNDS,0,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.7181,1,8273.92,2.46,0.1
TXN_0000056,CUST_00005,LOW_RELIABILITY,0.52,5014.89,8273.92,WALLET,9,INSUFFICIENT_FUNDS,0,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.5661,1,8273.92,8.41,0.45
TXN_0000056,CUST_00005,LOW_RELIABILITY,0.52,5014.89,8273.92,WALLET,9,INSUFFICIENT_FUNDS,0,WAIT,Wait,WAIT,12.0,0.5913,1,8273.92,0.5,0.05
TXN_0000059,CUST_00005,LOW_RELIABILITY,0.52,5014.89,4429.53,UPI,23,NETWORK_TIMEOUT,0,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.7482,1,4429.53,1.96,0.15
TXN_0000059,CUST_00005,LOW_RELIABILITY,0.52,5014.89,4429.53,UPI,23,NETWORK_TIMEOUT,0,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.7177,1,4429.53,2.13,0.1
TXN_0000059,CUST_00005,LOW_RELIABILITY,0.52,5014.89,4429.53,UPI,23,NETWORK_TIMEOUT,0,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.5105,1,4429.53,8.21,0.45
TXN_0000059,CUST_00005,LOW_RELIABILITY,0.52,5014.89,4429.53,UPI,23,NETWORK_TIMEOUT,0,WAIT,Wait,WAIT,12.0,0.5046,1,4429.53,0.15,0.05
TXN_0000063,CUST_00005,LOW_RELIABILITY,0.52,5014.89,4652.86,CARD,2,TEMPORARY_BANK_ERROR,3,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.5057,1,4652.86,2.15,0.39
TXN_0000063,CUST_00005,LOW_RELIABILITY,0.52,5014.89,4652.86,CARD,2,TEMPORARY_BANK_ERROR,3,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.6629,0,0.0,1.84,0.34
TXN_0000063,CUST_00005,LOW_RELIABILITY,0.52,5014.89,4652.86,CARD,2,TEMPORARY_BANK_ERROR,3,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.4178,0,0.0,8.15,0.69
TXN_0000063,CUST_00005,LOW_RELIABILITY,0.52,5014.89,4652.86,CARD,2,TEMPORARY_BANK_ERROR,3,WAIT,Wait,WAIT,12.0,0.4591,0,0.0,0.2,0.29
TXN_0000064,CUST_00005,LOW_RELIABILITY,0.52,5014.89,11420.12,CARD,7,NETWORK_TIMEOUT,0,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.6384,1,11420.12,3.36,0.15
TXN_0000064,CUST_00005,LOW_RELIABILITY,0.52,5014.89,11420.12,CARD,7,NETWORK_TIMEOUT,0,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.5895,0,0.0,3.46,0.1
TXN_0000064,CUST_00005,LOW_RELIABILITY,0.52,5014.89,11420.12,CARD,7,NETWORK_TIMEOUT,0,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.5666,1,11420.12,9.25,0.45
TXN_0000064,CUST_00005,LOW_RELIABILITY,0.52,5014.89,11420.12,CARD,7,NETWORK_TIMEOUT,0,WAIT,Wait,WAIT,12.0,0.5023,1,11420.12,1.51,0.05
TXN_0000071,CUST_00006,MEDIUM_RELIABILITY,0.65,9714.14,13285.95,UPI,19,TECHNICAL_ERROR,0,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.6849,0,0.0,3.31,0.15
TXN_0000071,CUST_00006,MEDIUM_RELIABILITY,0.65,9714.14,13285.95,UPI,19,TECHNICAL_ERROR,0,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.7729,1,13285.95,3.42,0.1
TXN_0000071,CUST_00006,MEDIUM_RELIABILITY,0.65,9714.14,13285.95,UPI,19,TECHNICAL_ERROR,0,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.6433,1,13285.95,9.51,0.45
TXN_0000071,CUST_00006,MEDIUM_RELIABILITY,0.65,9714.14,13285.95,UPI,19,TECHNICAL_ERROR,0,WAIT,Wait,WAIT,12.0,0.6527,0,0.0,1.6,0.05
TXN_0000072,CUST_00006,MEDIUM_RELIABILITY,0.65,9714.14,7117.96,CARD,19,AUTHENTICATION_FAILURE,2,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.4986,0,0.0,2.73,0.31
TXN_0000072,CUST_00006,MEDIUM_RELIABILITY,0.65,9714.14,7117.96,CARD,19,AUTHENTICATION_FAILURE,2,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.5028,0,0.0,2.38,0.26
TXN_0000072,CUST_00006,MEDIUM_RELIABILITY,0.65,9714.14,7117.96,CARD,19,AUTHENTICATION_FAILURE,2,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.5988,1,7117.96,8.39,0.61
TXN_0000072,CUST_00006,MEDIUM_RELIABILITY,0.65,9714.14,7117.96,CARD,19,AUTHENTICATION_FAILURE,2,WAIT,Wait,WAIT,12.0,0.4069,1,7117.96,0.27,0.21
TXN_0000082,CUST_00008,HIGH_RELIABILITY,0.9,3567.66,5037.48,UPI,18,NETWORK_TIMEOUT,1,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.8513,1,5037.48,2.28,0.23
TXN_0000082,CUST_00008,HIGH_RELIABILITY,0.9,3567.66,5037.48,UPI,18,NETWORK_TIMEOUT,1,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.8855,1,5037.48,2.39,0.18
TXN_0000082,CUST_00008,HIGH_RELIABILITY,0.9,3567.66,5037.48,UPI,18,NETWORK_TIMEOUT,1,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.6861,1,5037.48,8.32,0.53
TXN_0000082,CUST_00008,HIGH_RELIABILITY,0.9,3567.66,5037.48,UPI,18,NETWORK_TIMEOUT,1,WAIT,Wait,WAIT,12.0,0.6911,0,0.0,0.49,0.13
TXN_0000087,CUST_00008,HIGH_RELIABILITY,0.9,3567.66,6511.02,UPI,15,NETWORK_TIMEOUT,1,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.8824,1,6511.02,2.37,0.23
TXN_0000087,CUST_00008,HIGH_RELIABILITY,0.9,3567.66,6511.02,UPI,15,NETWORK_TIMEOUT,1,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.8345,1,6511.02,2.61,0.18
TXN_0000087,CUST_00008,HIGH_RELIABILITY,0.9,3567.66,6511.02,UPI,15,NETWORK_TIMEOUT,1,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.7651,1,6511.02,8.57,0.53
TXN_0000087,CUST_00008,HIGH_RELIABILITY,0.9,3567.66,6511.02,UPI,15,NETWORK_TIMEOUT,1,WAIT,Wait,WAIT,12.0,0.5938,1,6511.02,0.52,0.13
TXN_0000100,CUST_00010,MEDIUM_RELIABILITY,0.75,3266.68,3692.39,UPI,2,TEMPORARY_BANK_ERROR,0,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.7315,0,0.0,1.77,0.15
TXN_0000100,CUST_00010,MEDIUM_RELIABILITY,0.75,3266.68,3692.39,UPI,2,TEMPORARY_BANK_ERROR,0,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.8708,1,3692.39,2.05,0.1
TXN_0000100,CUST_00010,MEDIUM_RELIABILITY,0.75,3266.68,3692.39,UPI,2,TEMPORARY_BANK_ERROR,0,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.5896,1,3692.39,8.07,0.45
TXN_0000100,CUST_00010,MEDIUM_RELIABILITY,0.75,3266.68,3692.39,UPI,2,TEMPORARY_BANK_ERROR,0,WAIT,Wait,WAIT,12.0,0.7042,1,3692.39,0.0,0.05
TXN_0000101,CUST_00010,MEDIUM_RELIABILITY,0.75,3266.68,3520.68,CARD,1,TEMPORARY_BANK_ERROR,0,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.6943,1,3520.68,2.22,0.15
TXN_0000101,CUST_00010,MEDIUM_RELIABILITY,0.75,3266.68,3520.68,CARD,1,TEMPORARY_BANK_ERROR,0,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.9036,1,3520.68,1.82,0.1
TXN_0000101,CUST_00010,MEDIUM_RELIABILITY,0.75,3266.68,3520.68,CARD,1,TEMPORARY_BANK_ERROR,0,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.6691,1,3520.68,8.21,0.45
TXN_0000101,CUST_00010,MEDIUM_RELIABILITY,0.75,3266.68,3520.68,CARD,1,TEMPORARY_BANK_ERROR,0,WAIT,Wait,WAIT,12.0,0.6834,0,0.0,0.19,0.05
TXN_0000102,CUST_00010,MEDIUM_RELIABILITY,0.75,3266.68,2805.21,CARD,1,TECHNICAL_ERROR,0,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.7601,1,2805.21,2.16,0.15
TXN_0000102,CUST_00010,MEDIUM_RELIABILITY,0.75,3266.68,2805.21,CARD,1,TECHNICAL_ERROR,0,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.776,1,2805.21,2.03,0.1
TXN_0000102,CUST_00010,MEDIUM_RELIABILITY,0.75,3266.68,2805.21,CARD,1,TECHNICAL_ERROR,0,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.6452,0,0.0,7.8,0.45
TXN_0000102,CUST_00010,MEDIUM_RELIABILITY,0.75,3266.68,2805.21,CARD,1,TECHNICAL_ERROR,0,WAIT,Wait,WAIT,12.0,0.6892,1,2805.21,0.2,0.05
TXN_0000112,CUST_00011,MEDIUM_RELIABILITY,0.78,1825.19,1381.43,UPI,12,INSUFFICIENT_FUNDS,0,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.5941,1,1381.43,1.92,0.15
TXN_0000112,CUST_00011,MEDIUM_RELIABILITY,0.78,1825.19,1381.43,UPI,12,INSUFFICIENT_FUNDS,0,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.8193,1,1381.43,1.92,0.1
TXN_0000112,CUST_00011,MEDIUM_RELIABILITY,0.78,1825.19,1381.43,UPI,12,INSUFFICIENT_FUNDS,0,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.7204,1,1381.43,8.19,0.45
TXN_0000112,CUST_00011,MEDIUM_RELIABILITY,0.78,1825.19,1381.43,UPI,12,INSUFFICIENT_FUNDS,0,WAIT,Wait,WAIT,12.0,0.7484,1,1381.43,0.14,0.05
TXN_0000113,CUST_00012,MEDIUM_RELIABILITY,0.71,3980.44,6045.48,UPI,22,NETWORK_TIMEOUT,0,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.8009,1,6045.48,2.33,0.15
TXN_0000113,CUST_00012,MEDIUM_RELIABILITY,0.71,3980.44,6045.48,UPI,22,NETWORK_TIMEOUT,0,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.7892,1,6045.48,2.7,0.1
TXN_0000113,CUST_00012,MEDIUM_RELIABILITY,0.71,3980.44,6045.48,UPI,22,NETWORK_TIMEOUT,0,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.676,1,6045.48,8.25,0.45
TXN_0000113,CUST_00012,MEDIUM_RELIABILITY,0.71,3980.44,6045.48,UPI,22,NETWORK_TIMEOUT,0,WAIT,Wait,WAIT,12.0,0.5947,1,6045.48,0.33,0.05
TXN_0000115,CUST_00012,MEDIUM_RELIABILITY,0.71,3980.44,2389.37,UPI,7,NETWORK_TIMEOUT,0,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.8838,0,0.0,2.08,0.15
TXN_0000115,CUST_00012,MEDIUM_RELIABILITY,0.71,3980.44,2389.37,UPI,7,NETWORK_TIMEOUT,0,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.7991,1,2389.37,1.86,0.1
TXN_0000115,CUST_00012,MEDIUM_RELIABILITY,0.71,3980.44,2389.37,UPI,7,NETWORK_TIMEOUT,0,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.6031,0,0.0,7.91,0.45
TXN_0000115,CUST_00012,MEDIUM_RELIABILITY,0.71,3980.44,2389.37,UPI,7,NETWORK_TIMEOUT,0,WAIT,Wait,WAIT,12.0,0.6811,0,0.0,0.12,0.05
TXN_0000116,CUST_00012,MEDIUM_RELIABILITY,0.71,3980.44,3176.75,UPI,11,AUTHENTICATION_FAILURE,0,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.7316,1,3176.75,2.08,0.15
TXN_0000116,CUST_00012,MEDIUM_RELIABILITY,0.71,3980.44,3176.75,UPI,11,AUTHENTICATION_FAILURE,0,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.7242,1,3176.75,2.03,0.1
TXN_0000116,CUST_00012,MEDIUM_RELIABILITY,0.71,3980.44,3176.75,UPI,11,AUTHENTICATION_FAILURE,0,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.7859,1,3176.75,7.88,0.45
TXN_0000116,CUST_00012,MEDIUM_RELIABILITY,0.71,3980.44,3176.75,UPI,11,AUTHENTICATION_FAILURE,0,WAIT,Wait,WAIT,12.0,0.5184,0,0.0,0.0,0.05
TXN_0000118,CUST_00012,MEDIUM_RELIABILITY,0.71,3980.44,4850.94,UPI,2,USER_ABANDONMENT,1,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.4484,1,4850.94,2.2,0.23
TXN_0000118,CUST_00012,MEDIUM_RELIABILITY,0.71,3980.44,4850.94,UPI,2,USER_ABANDONMENT,1,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.6218,0,0.0,2.07,0.18
TXN_0000118,CUST_00012,MEDIUM_RELIABILITY,0.71,3980.44,4850.94,UPI,2,USER_ABANDONMENT,1,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.7712,1,4850.94,8.04,0.53
TXN_0000118,CUST_00012,MEDIUM_RELIABILITY,0.71,3980.44,4850.94,UPI,2,USER_ABANDONMENT,1,WAIT,Wait,WAIT,12.0,0.5188,1,4850.94,0.0,0.13
TXN_0000119,CUST_00012,MEDIUM_RELIABILITY,0.71,3980.44,3600.02,CARD,15,TECHNICAL_ERROR,0,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.7718,1,3600.02,1.89,0.15
TXN_0000119,CUST_00012,MEDIUM_RELIABILITY,0.71,3980.44,3600.02,CARD,15,TECHNICAL_ERROR,0,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.7403,0,0.0,1.76,0.1
TXN_0000119,CUST_00012,MEDIUM_RELIABILITY,0.71,3980.44,3600.02,CARD,15,TECHNICAL_ERROR,0,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.6557,0,0.0,8.22,0.45
TXN_0000119,CUST_00012,MEDIUM_RELIABILITY,0.71,3980.44,3600.02,CARD,15,TECHNICAL_ERROR,0,WAIT,Wait,WAIT,12.0,0.6862,1,3600.02,0.23,0.05
TXN_0000122,CUST_00013,LOW_RELIABILITY,0.48,5539.2,3495.43,CARD,22,TECHNICAL_ERROR,0,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.6225,1,3495.43,1.76,0.15
TXN_0000122,CUST_00013,LOW_RELIABILITY,0.48,5539.2,3495.43,CARD,22,TECHNICAL_ERROR,0,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.718,1,3495.43,2.21,0.1
TXN_0000122,CUST_00013,LOW_RELIABILITY,0.48,5539.2,3495.43,CARD,22,TECHNICAL_ERROR,0,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.6282,0,0.0,8.23,0.45
TXN_0000122,CUST_00013,LOW_RELIABILITY,0.48,5539.2,3495.43,CARD,22,TECHNICAL_ERROR,0,WAIT,Wait,WAIT,12.0,0.5344,0,0.0,0.18,0.05
TXN_0000123,CUST_00013,LOW_RELIABILITY,0.48,5539.2,9118.36,NET_BANKING,12,INSUFFICIENT_FUNDS,0,RETRY_30_MIN,Retry after 30 minutes,RETRY,0.5,0.3196,1,9118.36,2.68,0.15
TXN_0000123,CUST_00013,LOW_RELIABILITY,0.48,5539.2,9118.36,NET_BANKING,12,INSUFFICIENT_FUNDS,0,RETRY_6_HOURS,Retry after 6 hours,RETRY,6.0,0.5442,0,0.0,2.41,0.1
TXN_0000123,CUST_00013,LOW_RELIABILITY,0.48,5539.2,9118.36,NET_BANKING,12,INSUFFICIENT_FUNDS,0,PAYMENT_LINK,Send Payment Link,PAYMENT_LINK,1.0,0.5768,0,0.0,8.72,0.45
TXN_0000123,CUST_00013,LOW_RELIABILITY,0.48,5539.2,9118.36,NET_BANKING,12,INSUFFICIENT_FUNDS,0,WAIT,Wait,WAIT,12.0,0.5361,1,9118.36,0.6,0.05
