transaction_id,recommended_strategy,digital_twin_utility,digital_twin_probability,digital_twin_expected_recovery,retry_30_utility,retry_6h_utility,payment_link_utility,wait_utility,actual_recovered
TXN_0000655,Wait,4879.96,0.5772,4922.95,3944.07,4512.04,4411.25,4879.96,0
TXN_0000655,Wait,4879.96,0.5772,4922.95,3944.07,4512.04,4411.25,4879.96,0
TXN_0000655,Wait,4879.96,0.5772,4922.95,3944.07,4512.04,4411.25,4879.96,0
TXN_0000655,Wait,4879.96,0.5772,4922.95,3944.07,4512.04,4411.25,4879.96,1
TXN_0000675,Wait,3129.77,0.5435,3159.18,2158.48,2627.58,2819.9,3129.77,0
TXN_0000675,Wait,3129.77,0.5435,3159.18,2158.48,2627.58,2819.9,3129.77,1
TXN_0000675,Wait,3129.77,0.5435,3159.18,2158.48,2627.58,2819.9,3129.77,0
TXN_0000675,Wait,3129.77,0.5435,3159.18,2158.48,2627.58,2819.9,3129.77,1
TXN_0000700,Retry after 6 hours,5634.99,0.5236,5719.21,5478.86,5634.99,5030.73,4639.69,0
TXN_0000700,Retry after 6 hours,5634.99,0.5236,5719.21,5478.86,5634.99,5030.73,4639.69,1
TXN_0000700,Retry after 6 hours,5634.99,0.5236,5719.21,5478.86,5634.99,5030.73,4639.69,0
TXN_0000700,Retry after 6 hours,5634.99,0.5236,5719.21,5478.86,5634.99,5030.73,4639.69,0
TXN_0000702,Retry after 30 minutes,3263.07,0.4855,3289.09,3263.07,3092.82,3123.77,2979.79,1
TXN_0000702,Retry after 30 minutes,3263.07,0.4855,3289.09,3263.07,3092.82,3123.77,2979.79,1
TXN_0000702,Retry after 30 minutes,3263.07,0.4855,3289.09,3263.07,3092.82,3123.77,2979.79,1
TXN_0000702,Retry after 30 minutes,3263.07,0.4855,3289.09,3263.07,3092.82,3123.77,2979.79,1
TXN_0000718,Wait,938.6,0.4371,949.8,681.9,792.81,870.01,938.6,0
TXN_0000718,Wait,938.6,0.4371,949.8,681.9,792.81,870.01,938.6,0
TXN_0000718,Wait,938.6,0.4371,949.8,681.9,792.81,870.01,938.6,0
TXN_0000718,Wait,938.6,0.4371,949.8,681.9,792.81,870.01,938.6,0
TXN_0000728,Wait,213.07,0.4045,216.08,193.7,209.2,190.05,213.07,0
TXN_0000728,Wait,213.07,0.4045,216.08,193.7,209.2,190.05,213.07,0
TXN_0000728,Wait,213.07,0.4045,216.08,193.7,209.2,190.05,213.07,1
TXN_0000728,Wait,213.07,0.4045,216.08,193.7,209.2,190.05,213.07,1
TXN_0000729,Retry after 30 minutes,66.84,0.4987,69.63,66.84,63.06,45.6,53.87,1
TXN_0000729,Retry after 30 minutes,66.84,0.4987,69.63,66.84,63.06,45.6,53.87,1
TXN_0000729,Retry after 30 minutes,66.84,0.4987,69.63,66.84,63.06,45.6,53.87,1
TXN_0000729,Retry after 30 minutes,66.84,0.4987,69.63,66.84,63.06,45.6,53.87,1
TXN_0000745,Retry after 30 minutes,4274.76,0.698,4298.62,4274.76,4154.09,4000.09,3967.37,1
TXN_0000745,Retry after 30 minutes,4274.76,0.698,4298.62,4274.76,4154.09,4000.09,3967.37,1
TXN_0000745,Retry after 30 minutes,4274.76,0.698,4298.62,4274.76,4154.09,4000.09,3967.37,0
TXN_0000745,Retry after 30 minutes,4274.76,0.698,4298.62,4274.76,4154.09,4000.09,3967.37,1
TXN_0000784,Retry after 6 hours,1946.69,0.4566,1981.54,1789.22,1946.69,1856.52,1494.71,1
TXN_0000784,Retry after 6 hours,1946.69,0.4566,1981.54,1789.22,1946.69,1856.52,1494.71,0
TXN_0000784,Retry after 6 hours,1946.69,0.4566,1981.54,1789.22,1946.69,1856.52,1494.71,0
TXN_0000784,Retry after 6 hours,1946.69,0.4566,1981.54,1789.22,1946.69,1856.52,1494.71,1
TXN_0000788,Send Payment Link,1007.28,0.4162,1080.49,879.12,948.2,1007.28,818.69,0
TXN_0000788,Send Payment Link,1007.28,0.4162,1080.49,879.12,948.2,1007.28,818.69,0
TXN_0000788,Send Payment Link,1007.28,0.4162,1080.49,879.12,948.2,1007.28,818.69,1
TXN_0000788,Send Payment Link,1007.28,0.4162,1080.49,879.12,948.2,1007.28,818.69,0
TXN_0000831,Wait,1910.42,0.4421,1932.62,1665.36,1793.89,1802.56,1910.42,1
TXN_0000831,Wait,1910.42,0.4421,1932.62,1665.36,1793.89,1802.56,1910.42,1
TXN_0000831,Wait,1910.42,0.4421,1932.62,1665.36,1793.89,1802.56,1910.42,0
TXN_0000831,Wait,1910.42,0.4421,1932.62,1665.36,1793.89,1802.56,1910.42,1
TXN_0000835,Retry after 30 minutes,1762.58,0.5093,1777.1,1762.58,1670.43,1683.88,1264.76,1
TXN_0000835,Retry after 30 minutes,1762.58,0.5093,1777.1,1762.58,1670.43,1683.88,1264.76,0
TXN_0000835,Retry after 30 minutes,1762.58,0.5093,1777.1,1762.58,1670.43,1683.88,1264.76,0
TXN_0000835,Retry after 30 minutes,1762.58,0.5093,1777.1,1762.58,1670.43,1683.88,1264.76,0
TXN_0000836,Retry after 6 hours,1053.63,0.4434,1074.1,957.09,1053.63,1011.74,1053.14,0
TXN_0000836,Retry after 6 hours,1053.63,0.4434,1074.1,957.09,1053.63,1011.74,1053.14,0
TXN_0000836,Retry after 6 hours,1053.63,0.4434,1074.1,957.09,1053.63,1011.74,1053.14,1
TXN_0000836,Retry after 6 hours,1053.63,0.4434,1074.1,957.09,1053.63,1011.74,1053.14,1
TXN_0000837,Retry after 6 hours,2550.55,0.4973,2591.94,2306.7,2550.55,2471.93,2256.47,0
TXN_0000837,Retry after 6 hours,2550.55,0.4973,2591.94,2306.7,2550.55,2471.93,2256.47,1
TXN_0000837,Retry after 6 hours,2550.55,0.4973,2591.94,2306.7,2550.55,2471.93,2256.47,0
TXN_0000837,Retry after 6 hours,2550.55,0.4973,2591.94,2306.7,2550.55,2471.93,2256.47,1
TXN_0000856,Send Payment Link,902.49,0.4907,959.68,842.02,815.97,902.49,816.9,1
TXN_0000856,Send Payment Link,902.49,0.4907,959.68,842.02,815.97,902.49,816.9,1
TXN_0000856,Send Payment Link,902.49,0.4907,959.68,842.02,815.97,902.49,816.9,0
TXN_0000856,Send Payment Link,902.49,0.4907,959.68,842.02,815.97,902.49,816.9,0
TXN_0000857,Retry after 30 minutes,965.12,0.5009,974.22,965.12,957.18,790.8,762.42,1
TXN_0000857,Retry after 30 minutes,965.12,0.5009,974.22,965.12,957.18,790.8,762.42,0
TXN_0000857,Retry after 30 minutes,965.12,0.5009,974.22,965.12,957.18,790.8,762.42,1
TXN_0000857,Retry after 30 minutes,965.12,0.5009,974.22,965.12,957.18,790.8,762.42,0
TXN_0000858,Retry after 6 hours,352.29,0.4541,360.55,308.61,352.29,306.29,304.08,1
TXN_0000858,Retry after 6 hours,352.29,0.4541,360.55,308.61,352.29,306.29,304.08,1
TXN_0000858,Retry after 6 hours,352.29,0.4541,360.55,308.61,352.29,306.29,304.08,1
TXN_0000858,Retry after 6 hours,352.29,0.4541,360.55,308.61,352.29,306.29,304.08,0
TXN_0000895,Wait,688.94,0.45,697.02,463.59,567.77,609.2,688.94,0
TXN_0000895,Wait,688.94,0.45,697.02,463.59,567.77,609.2,688.94,1
TXN_0000895,Wait,688.94,0.45,697.02,463.59,567.77,609.2,688.94,0
TXN_0000895,Wait,688.94,0.45,697.02,463.59,567.77,609.2,688.94,0
TXN_0000902,Retry after 6 hours,401.87,0.4162,411.59,357.18,401.87,401.26,351.58,1
TXN_0000902,Retry after 6 hours,401.87,0.4162,411.59,357.18,401.87,401.26,351.58,1
TXN_0000902,Retry after 6 hours,401.87,0.4162,411.59,357.18,401.87,401.26,351.58,0
TXN_0000902,Retry after 6 hours,401.87,0.4162,411.59,357.18,401.87,401.26,351.58,0
TXN_0000912,Send Payment Link,584.43,0.4398,628.45,502.25,529.44,584.43,554.87,0
TXN_0000912,Send Payment Link,584.43,0.4398,628.45,502.25,529.44,584.43,554.87,0
TXN_0000912,Send Payment Link,584.43,0.4398,628.45,502.25,529.44,584.43,554.87,0
TXN_0000912,Send Payment Link,584.43,0.4398,628.45,502.25,529.44,584.43,554.87,0
TXN_0000916,Retry after 6 hours,1234.26,0.6818,1250.31,1207.05,1234.26,1186.34,1129.39,1
TXN_0000916,Retry after 6 hours,1234.26,0.6818,1250.31,1207.05,1234.26,1186.34,1129.39,1
TXN_0000916,Retry after 6 hours,1234.26,0.6818,1250.31,1207.05,1234.26,1186.34,1129.39,1
TXN_0000916,Retry after 6 hours,1234.26,0.6818,1250.31,1207.05,1234.26,1186.34,1129.39,1
TXN_0000917,Retry after 6 hours,1767.89,0.7771,1787.45,1744.91,1767.89,1636.82,1638.16,1
TXN_0000917,Retry after 6 hours,1767.89,0.7771,1787.45,1744.91,1767.89,1636.82,1638.16,1
TXN_0000917,Retry after 6 hours,1767.89,0.7771,1787.45,1744.91,1767.89,1636.82,1638.16,0
TXN_0000917,Retry after 6 hours,1767.89,0.7771,1787.45,1744.91,1767.89,1636.82,1638.16,0
TXN_0000946,Retry after 6 hours,1816.89,0.5228,1845.67,1741.06,1816.89,1673.93,1667.31,1
TXN_0000946,Retry after 6 hours,1816.89,0.5228,1845.67,1741.06,1816.89,1673.93,1667.31,1
TXN_0000946,Retry after 6 hours,1816.89,0.5228,1845.67,1741.06,1816.89,1673.93,1667.31,0
TXN_0000946,Retry after 6 hours,1816.89,0.5228,1845.67,1741.06,1816.89,1673.93,1667.31,1
TXN_0000948,Send Payment Link,1792.04,0.4236,1913.24,1194.34,1328.21,1792.04,1527.7,0
TXN_0000948,Send Payment Link,1792.04,0.4236,1913.24,1194.34,1328.21,1792.04,1527.7,1
TXN_0000948,Send Payment Link,1792.04,0.4236,1913.24,1194.34,1328.21,1792.04,1527.7,1
TXN_0000948,Send Payment Link,1792.04,0.4236,1913.24,1194.34,1328.21,1792.04,1527.7,1
TXN_0000979,Wait,4918.17,0.6398,4957.25,4013.52,4419.66,4538.54,4918.17,1
TXN_0000979,Wait,4918.17,0.6398,4957.25,4013.52,4419.66,4538.54,4918.17,1
TXN_0000979,Wait,4918.17,0.6398,4957.25,4013.52,4419.66,4538.54,4918.17,1
TXN_0000979,Wait,4918.17,0.6398,4957.25,4013.52,4419.66,4538.54,4918.17,1
TXN_0000990,Wait,942.53,0.5024,952.35,723.38,817.52,763.84,942.53,0
TXN_0000990,Wait,942.53,0.5024,952.35,723.38,817.52,763.84,942.53,1
TXN_0000990,Wait,942.53,0.5024,952.35,723.38,817.52,763.84,942.53,1
TXN_0000990,Wait,942.53,0.5024,952.35,723.38,817.52,763.84,942.53,1
TXN_0001002,Send Payment Link,9377.89,0.7064,9730.58,7932.04,8026.23,9377.89,9321.98,1
TXN_0001002,Send Payment Link,9377.89,0.7064,9730.58,7932.04,8026.23,9377.89,9321.98,1
TXN_0001002,Send Payment Link,9377.89,0.7064,9730.58,7932.04,8026.23,9377.89,9321.98,1
TXN_0001002,Send Payment Link,9377.89,0.7064,9730.58,7932.04,8026.23,9377.89,9321.98,0
TXN_0001015,Retry after 6 hours,224.22,0.4951,230.01,199.19,224.22,210.93,208.89,1
TXN_0001015,Retry after 6 hours,224.22,0.4951,230.01,199.19,224.22,210.93,208.89,1
TXN_0001015,Retry after 6 hours,224.22,0.4951,230.01,199.19,224.22,210.93,208.89,1
TXN_0001015,Retry after 6 hours,224.22,0.4951,230.01,199.19,224.22,210.93,208.89,1
TXN_0001106,Wait,2406.84,0.4417,2434.74,1538.53,1861.4,2095.77,2406.84,0
TXN_0001106,Wait,2406.84,0.4417,2434.74,1538.53,1861.4,2095.77,2406.84,0
TXN_0001106,Wait,2406.84,0.4417,2434.74,1538.53,1861.4,2095.77,2406.84,1
TXN_0001106,Wait,2406.84,0.4417,2434.74,1538.53,1861.4,2095.77,2406.84,0
TXN_0001112,Send Payment Link,1216.84,0.5107,1288.21,1154.94,1100.22,1216.84,1020.81,1
TXN_0001112,Send Payment Link,1216.84,0.5107,1288.21,1154.94,1100.22,1216.84,1020.81,1
TXN_0001112,Send Payment Link,1216.84,0.5107,1288.21,1154.94,1100.22,1216.84,1020.81,0
TXN_0001112,Send Payment Link,1216.84,0.5107,1288.21,1154.94,1100.22,1216.84,1020.81,1
TXN_0001156,Retry after 6 hours,3770.2,0.7159,3812.44,3741.13,3770.2,3515.22,3758.5,1
TXN_0001156,Retry after 6 hours,3770.2,0.7159,3812.44,3741.13,3770.2,3515.22,3758.5,1
TXN_0001156,Retry after 6 hours,3770.2,0.7159,3812.44,3741.13,3770.2,3515.22,3758.5,0
TXN_0001156,Retry after 6 hours,3770.2,0.7159,3812.44,3741.13,3770.2,3515.22,3758.5,1
TXN_0001157,Wait,3239.29,0.7196,3262.3,2999.08,3063.22,3080.04,3239.29,1
TXN_0001157,Wait,3239.29,0.7196,3262.3,2999.08,3063.22,3080.04,3239.29,1
TXN_0001157,Wait,3239.29,0.7196,3262.3,2999.08,3063.22,3080.04,3239.29,1
TXN_0001157,Wait,3239.29,0.7196,3262.3,2999.08,3063.22,3080.04,3239.29,1
TXN_0001158,Wait,5630.69,0.6618,5673.9,3997.95,4636.94,4282.8,5630.69,0
TXN_0001158,Wait,5630.69,0.6618,5673.9,3997.95,4636.94,4282.8,5630.69,1
TXN_0001158,Wait,5630.69,0.6618,5673.9,3997.95,4636.94,4282.8,5630.69,1
TXN_0001158,Wait,5630.69,0.6618,5673.9,3997.95,4636.94,4282.8,5630.69,1
TXN_0001203,Retry after 6 hours,3568.82,0.5578,3619.79,3563.85,3568.82,3498.62,3455.22,1
TXN_0001203,Retry after 6 hours,3568.82,0.5578,3619.79,3563.85,3568.82,3498.62,3455.22,1
TXN_0001203,Retry after 6 hours,3568.82,0.5578,3619.79,3563.85,3568.82,3498.62,3455.22,0
TXN_0001203,Retry after 6 hours,3568.82,0.5578,3619.79,3563.85,3568.82,3498.62,3455.22,0
TXN_0001210,Send Payment Link,2733.55,0.6295,2855.23,2338.6,2315.47,2733.55,2565.47,1
TXN_0001210,Send Payment Link,2733.55,0.6295,2855.23,2338.6,2315.47,2733.55,2565.47,1
TXN_0001210,Send Payment Link,2733.55,0.6295,2855.23,2338.6,2315.47,2733.55,2565.47,1
TXN_0001210,Send Payment Link,2733.55,0.6295,2855.23,2338.6,2315.47,2733.55,2565.47,0
TXN_0001212,Retry after 30 minutes,2931.41,0.5905,2951.2,2931.41,2903.56,2721.23,2792.51,1
TXN_0001212,Retry after 30 minutes,2931.41,0.5905,2951.2,2931.41,2903.56,2721.23,2792.51,0
TXN_0001212,Retry after 30 minutes,2931.41,0.5905,2951.2,2931.41,2903.56,2721.23,2792.51,0
TXN_0001212,Retry after 30 minutes,2931.41,0.5905,2951.2,2931.41,2903.56,2721.23,2792.51,1
TXN_0001224,Send Payment Link,1318.69,0.5762,1387.17,1270.35,1292.43,1318.69,1313.89,0
TXN_0001224,Send Payment Link,1318.69,0.5762,1387.17,1270.35,1292.43,1318.69,1313.89,1
TXN_0001224,Send Payment Link,1318.69,0.5762,1387.17,1270.35,1292.43,1318.69,1313.89,0
TXN_0001224,Send Payment Link,1318.69,0.5762,1387.17,1270.35,1292.43,1318.69,1313.89,0
TXN_0001283,Send Payment Link,5050.49,0.6622,5257.26,4699.96,4733.77,5050.49,4809.69,1
TXN_0001283,Send Payment Link,5050.49,0.6622,5257.26,4699.96,4733.77,5050.49,4809.69,1
TXN_0001283,Send Payment Link,5050.49,0.6622,5257.26,4699.96,4733.77,5050.49,4809.69,1
TXN_0001283,Send Payment Link,5050.49,0.6622,5257.26,4699.96,4733.77,5050.49,4809.69,1
TXN_0001289,Wait,3154.09,0.5768,3182.01,1931.74,2387.03,2665.25,3154.09,0
TXN_0001289,Wait,3154.09,0.5768,3182.01,1931.74,2387.03,2665.25,3154.09,1
TXN_0001289,Wait,3154.09,0.5768,3182.01,1931.74,2387.03,2665.25,3154.09,0
TXN_0001289,Wait,3154.09,0.5768,3182.01,1931.74,2387.03,2665.25,3154.09,0
TXN_0001295,Wait,2214.56,0.5923,2233.76,1427.74,1668.23,1874.99,2214.56,0
TXN_0001295,Wait,2214.56,0.5923,2233.76,1427.74,1668.23,1874.99,2214.56,1
TXN_0001295,Wait,2214.56,0.5923,2233.76,1427.74,1668.23,1874.99,2214.56,1
TXN_0001295,Wait,2214.56,0.5923,2233.76,1427.74,1668.23,1874.99,2214.56,0
TXN_0001363,Wait,6319.15,0.6101,6371.71,5524.99,5588.53,6186.57,6319.15,1
TXN_0001363,Wait,6319.15,0.6101,6371.71,5524.99,5588.53,6186.57,6319.15,1
TXN_0001363,Wait,6319.15,0.6101,6371.71,5524.99,5588.53,6186.57,6319.15,0
TXN_0001363,Wait,6319.15,0.6101,6371.71,5524.99,5588.53,6186.57,6319.15,1
TXN_0001424,Retry after 6 hours,2655.1,0.6945,2686.41,2563.04,2655.1,2490.12,2649.3,1
TXN_0001424,Retry after 6 hours,2655.1,0.6945,2686.41,2563.04,2655.1,2490.12,2649.3,0
TXN_0001424,Retry after 6 hours,2655.1,0.6945,2686.41,2563.04,2655.1,2490.12,2649.3,1
TXN_0001424,Retry after 6 hours,2655.1,0.6945,2686.41,2563.04,2655.1,2490.12,2649.3,1
TXN_0001471,Retry after 30 minutes,149.99,0.405,153.61,149.99,149.18,143.86,128.8,1
TXN_0001471,Retry after 30 minutes,149.99,0.405,153.61,149.99,149.18,143.86,128.8,1
TXN_0001471,Retry after 30 minutes,149.99,0.405,153.61,149.99,149.18,143.86,128.8,1
TXN_0001471,Retry after 30 minutes,149.99,0.405,153.61,149.99,149.18,143.86,128.8,0
TXN_0001476,Wait,186.58,0.354,189.6,160.49,171.22,183.69,186.58,0
TXN_0001476,Wait,186.58,0.354,189.6,160.49,171.22,183.69,186.58,0
TXN_0001476,Wait,186.58,0.354,189.6,160.49,171.22,183.69,186.58,1
TXN_0001476,Wait,186.58,0.354,189.6,160.49,171.22,183.69,186.58,0
TXN_0001478,Retry after 6 hours,186.01,0.4167,191.76,176.66,186.01,154.0,174.58,0
TXN_0001478,Retry after 6 hours,186.01,0.4167,191.76,176.66,186.01,154.0,174.58,1
TXN_0001478,Retry after 6 hours,186.01,0.4167,191.76,176.66,186.01,154.0,174.58,0
TXN_0001478,Retry after 6 hours,186.01,0.4167,191.76,176.66,186.01,154.0,174.58,1
